feature,mean_abs_shap
sensor_measurement_4_rmean,6.651353
sensor_measurement_11_rmean,5.5294185
cycle_index,5.352144
sensor_measurement_15_rmean,3.8792014
sensor_measurement_11_delta,3.0260348
sensor_measurement_15_delta,2.5584276
sensor_measurement_9_delta,2.5029924
sensor_measurement_20_delta,2.3594074
sensor_measurement_14_delta,2.217364
sensor_measurement_8_delta,2.0995443
sensor_measurement_2_rmean,1.98132
sensor_measurement_4_delta,1.9048178
sensor_measurement_17_rmean,1.6860137
sensor_measurement_13_delta,1.5935242
sensor_measurement_9_rmean,1.4758202
sensor_measurement_3_rmean,1.3556994
sensor_measurement_7_delta,1.1743553
sensor_measurement_12_delta,1.0928465
sensor_measurement_21_rmean,1.085498
sensor_measurement_21_delta,0.9641663
sensor_measurement_15,0.93819463
sensor_measurement_14_rmean,0.93048275
sensor_measurement_7_rmean,0.91762483
sensor_measurement_17_delta,0.8492808
sensor_measurement_20,0.79514635
sensor_measurement_12_rmean,0.71110827
sensor_measurement_13_rmean,0.69252187
sensor_measurement_14,0.6154309
sensor_measurement_4,0.6110319
sensor_measurement_11,0.5268118
sensor_measurement_20_rmean,0.48797974
sensor_measurement_2_delta,0.4353227
sensor_measurement_8_rmean,0.37059516
sensor_measurement_8,0.30934173
sensor_measurement_3_delta,0.18844034
sensor_measurement_9_rstd,0.11771153
sensor_measurement_13,0.111042306
sensor_measurement_14_rstd,0.10880136
sensor_measurement_17_rstd,0.1086013
sensor_measurement_9,0.08440741
sensor_measurement_2_rstd,0.084032424
sensor_measurement_21,0.062213987
sensor_measurement_4_rstd,0.059387393
sensor_measurement_7_rstd,0.05138849
sensor_measurement_12_rstd,0.04150757
sensor_measurement_15_rstd,0.04023281
sensor_measurement_8_rstd,0.03873797
sensor_measurement_11_rstd,0.03706186
sensor_measurement_13_rstd,0.0366975
sensor_measurement_20_rstd,0.03340988
sensor_measurement_7,0.033274833
sensor_measurement_12,0.032448903
sensor_measurement_21_rstd,0.014509661
sensor_measurement_3_rstd,0.012206231
sensor_measurement_2,0.011745191
sensor_measurement_17,0.0066251615
sensor_measurement_3,0.004083048
