feature_set,model,feature,importance
A,RandomForest,operational_setting_1,0.010230026811525702
A,RandomForest,operational_setting_2,0.006490621700819807
A,RandomForest,operational_setting_3,0.0
A,RandomForest,sensor_measurement_1,0.0
A,RandomForest,sensor_measurement_2,0.015181695302183357
A,RandomForest,sensor_measurement_3,0.014212178774939247
A,RandomForest,sensor_measurement_4,0.06876050792822028
A,RandomForest,sensor_measurement_5,0.0
A,RandomForest,sensor_measurement_6,6.053666152263546e-05
A,RandomForest,sensor_measurement_7,0.026185564982755653
A,RandomForest,sensor_measurement_8,0.011601027455250526
A,RandomForest,sensor_measurement_9,0.14012934610611888
A,RandomForest,sensor_measurement_10,0.0
A,RandomForest,sensor_measurement_11,0.5650840857088487
A,RandomForest,sensor_measurement_12,0.04465853291850462
A,RandomForest,sensor_measurement_13,0.014633886800853126
A,RandomForest,sensor_measurement_14,0.027411942972433052
A,RandomForest,sensor_measurement_15,0.021832399157860498
A,RandomForest,sensor_measurement_16,0.0
A,RandomForest,sensor_measurement_17,0.0046645324233828035
A,RandomForest,sensor_measurement_18,0.0
A,RandomForest,sensor_measurement_19,0.0
A,RandomForest,sensor_measurement_20,0.013250911653712824
A,RandomForest,sensor_measurement_21,0.015612202641068185
A,GradientBoosting,operational_setting_1,0.00011755614680139523
A,GradientBoosting,operational_setting_2,5.997188021297122e-05
A,GradientBoosting,operational_setting_3,0.0
A,GradientBoosting,sensor_measurement_1,0.0
A,GradientBoosting,sensor_measurement_2,0.012873502692197529
A,GradientBoosting,sensor_measurement_3,0.006120664122950464
A,GradientBoosting,sensor_measurement_4,0.18477172221660124
A,GradientBoosting,sensor_measurement_5,0.0
A,GradientBoosting,sensor_measurement_6,0.0
A,GradientBoosting,sensor_measurement_7,0.050269168203846575
A,GradientBoosting,sensor_measurement_8,0.0040209553224887975
A,GradientBoosting,sensor_measurement_9,0.12585682754300467
A,GradientBoosting,sensor_measurement_10,0.0
A,GradientBoosting,sensor_measurement_11,0.37696901941370453
A,GradientBoosting,sensor_measurement_12,0.11229620595323574
A,GradientBoosting,sensor_measurement_13,0.006426654014333917
A,GradientBoosting,sensor_measurement_14,0.02926225805007536
A,GradientBoosting,sensor_measurement_15,0.04399336532459727
A,GradientBoosting,sensor_measurement_16,0.0
A,GradientBoosting,sensor_measurement_17,0.008870569094398102
A,GradientBoosting,sensor_measurement_18,0.0
A,GradientBoosting,sensor_measurement_19,0.0
A,GradientBoosting,sensor_measurement_20,0.025280218352966705
A,GradientBoosting,sensor_measurement_21,0.012811341668584754
A,XGBoost,operational_setting_1,0.0026377530302852392
A,XGBoost,operational_setting_2,0.003200487932190299
A,XGBoost,operational_setting_3,0.0
A,XGBoost,sensor_measurement_1,0.0
A,XGBoost,sensor_measurement_2,0.014583679847419262
A,XGBoost,sensor_measurement_3,0.010121691040694714
A,XGBoost,sensor_measurement_4,0.18871158361434937
A,XGBoost,sensor_measurement_5,0.0
A,XGBoost,sensor_measurement_6,0.0
A,XGBoost,sensor_measurement_7,0.051616378128528595
A,XGBoost,sensor_measurement_8,0.015596135519444942
A,XGBoost,sensor_measurement_9,0.09719543159008026
A,XGBoost,sensor_measurement_10,0.0
A,XGBoost,sensor_measurement_11,0.3826982378959656
A,XGBoost,sensor_measurement_12,0.08152133226394653
A,XGBoost,sensor_measurement_13,0.016361890360713005
A,XGBoost,sensor_measurement_14,0.03105727583169937
A,XGBoost,sensor_measurement_15,0.031315870583057404
A,XGBoost,sensor_measurement_16,0.0
A,XGBoost,sensor_measurement_17,0.02654539793729782
A,XGBoost,sensor_measurement_18,0.0
A,XGBoost,sensor_measurement_19,0.0
A,XGBoost,sensor_measurement_20,0.030259311199188232
A,XGBoost,sensor_measurement_21,0.01657755859196186
B,RandomForest,sensor_measurement_11,0.5664147014011608
B,RandomForest,sensor_measurement_4,0.07009489504590273
B,RandomForest,sensor_measurement_12,0.045860689799322236
B,RandomForest,sensor_measurement_7,0.027620073006043744
B,RandomForest,sensor_measurement_15,0.02323109930228121
B,RandomForest,sensor_measurement_21,0.016975267027729717
B,RandomForest,sensor_measurement_20,0.014415271347198928
B,RandomForest,sensor_measurement_2,0.0164507653928795
B,RandomForest,sensor_measurement_17,0.005091512260166329
B,RandomForest,sensor_measurement_3,0.015583449231783295
B,RandomForest,sensor_measurement_8,0.012459459440310598
B,RandomForest,sensor_measurement_13,0.015428517649981252
B,RandomForest,sensor_measurement_9,0.1415927888371544
B,RandomForest,sensor_measurement_14,0.028781510258085268
B,GradientBoosting,sensor_measurement_11,0.3770160141043016
B,GradientBoosting,sensor_measurement_4,0.18474584938369018
B,GradientBoosting,sensor_measurement_12,0.11227853772560097
B,GradientBoosting,sensor_measurement_7,0.050223925121907036
B,GradientBoosting,sensor_measurement_15,0.0439824024996536
B,GradientBoosting,sensor_measurement_21,0.012805890680949932
B,GradientBoosting,sensor_measurement_20,0.02532347141035665
B,GradientBoosting,sensor_measurement_2,0.012913080146291557
B,GradientBoosting,sensor_measurement_17,0.008881104862699522
B,GradientBoosting,sensor_measurement_3,0.006169015539132954
B,GradientBoosting,sensor_measurement_8,0.004052484863270495
B,GradientBoosting,sensor_measurement_13,0.006422189888492833
B,GradientBoosting,sensor_measurement_9,0.12590571573945683
B,GradientBoosting,sensor_measurement_14,0.029280318034195826
B,XGBoost,sensor_measurement_11,0.34472721815109253
B,XGBoost,sensor_measurement_4,0.20640929043293
B,XGBoost,sensor_measurement_12,0.10061640292406082
B,XGBoost,sensor_measurement_7,0.039418045431375504
